key,press_time,release_time,dwell_time,flight_time
m,845.2,909.3,64.1,325.0
y,1234.3,1299.0,64.7,231.7
s,1530.7,1635.4,104.7,413.0
e,2048.4,2206.1,157.7,185.6
c,2391.7,2465.5,73.8,296.6
u,2762.1,2835.4,73.3,288.5
r,3123.9,3289.8,165.9,100.1
e,3389.9,3536.3,146.4,317.1
p,3853.4,3939.2,85.8,297.9
a,4237.1,4372.2,135.1,161.1
s,4533.3,4672.5,139.2,70.7
s,4743.2,4863.3,120.1,258.4
w,5121.7,5248.5,126.8,376.2
o,5624.7,5706.3,81.6,300.5
r,6006.8,6172.9,166.1,129.0
d,6301.9,6444.3,142.4,271.5
1,6715.8,6884.3,168.5,115.7
2,7000.0,7132.3,132.3,201.6
3,7333.9,7498.4,164.5,0.0
